PROD027   20230515 01500 02099.99
PROD003   20230526 00700 00699.99
PROD011   20230505 01000 01399.99
PROD019   20230502 00400 01899.99
PROD008   20230514 00600 00999.99
PROD020   20230523 01800 01199.99
PROD014   20230527 01900 00499.99
PROD001   20230521 00900 01799.99
PROD026   20230525 00100 02199.99
PROD002   20230507 01600 00899.99
PROD022   20230522 00200 01499.99
PROD005   20230503 00500 01599.99
PROD006   20230528 00800 02599.99
PROD009   20230506 00300 02699.99
PROD017   20230510 01300 02499.99
PROD023   20230508 01100 02299.99
PROD004   20230511 01200 00599.99
PROD025   20230513 01400 02799.99
PROD012   20230512 01700 01699.99
PROD016   20230501 02000 01999.99
PROD018   20230524 02100 02399.99
PROD013   20230520 02200 01299.99
PROD021   20230516 02300 01099.99
PROD015   20230504 02400 00199.99
PROD007   20230518 02500 00799.99
PROD010   20230519 02600 00399.99
PROD024   20230509 02700 00299.99
PROD030   20230517 02800 00099.99
PROD029   20230530 02900 02999.99
PROD028   20230529 03000 02899.99
